0 0 PASS  
1 1 PASS 零零零一 
10 10 PASS 零零十 
12 12 PASS 零零十二 
100 100 PASS 零一百 
102 102 PASS 零一百零二 
310 310 PASS 零三百十 
123 123 PASS 零一百二十三 
1000 1000 PASS 一千 
1002 1002 PASS 一千零零二 
1020 1020 PASS 一千零二十 
1023 1023 PASS 一千零二十三 
1200 1200 PASS 一千二百 
1203 1203 PASS 一千二百零三 
1230 1230 PASS 一千二百三十 
1234 1234 PASS 一千二百三十四 
10000 10000 PASS 零零零一萬 
10001 10001 PASS 零零零一萬零零零一 
10010 10010 PASS 零零零一萬零零十 
10012 10012 PASS 零零零一萬零零十二 
10100 10100 PASS 零零零一萬零一百 
10102 10102 PASS 零零零一萬零一百零二 
10310 10310 PASS 零零零一萬零三百十 
10123 10123 PASS 零零零一萬零一百二十三 
11000 11000 PASS 零零零一萬一千 
11002 11002 PASS 零零零一萬一千零零二 
11020 11020 PASS 零零零一萬一千零二十 
11023 11023 PASS 零零零一萬一千零二十三 
11200 11200 PASS 零零零一萬一千二百 
11203 11203 PASS 零零零一萬一千二百零三 
11230 11230 PASS 零零零一萬一千二百三十 
11234 11234 PASS 零零零一萬一千二百三十四 
100000 100000 PASS 零零十萬 
100001 100001 PASS 零零十萬零零零一 
100010 100010 PASS 零零十萬零零十 
100012 100012 PASS 零零十萬零零十二 
100100 100100 PASS 零零十萬零一百 
100102 100102 PASS 零零十萬零一百零二 
100310 100310 PASS 零零十萬零三百十 
100123 100123 PASS 零零十萬零一百二十三 
101000 101000 PASS 零零十萬一千 
101002 101002 PASS 零零十萬一千零零二 
101020 101020 PASS 零零十萬一千零二十 
101023 101023 PASS 零零十萬一千零二十三 
101200 101200 PASS 零零十萬一千二百 
101203 101203 PASS 零零十萬一千二百零三 
101230 101230 PASS 零零十萬一千二百三十 
101234 101234 PASS 零零十萬一千二百三十四 
120000 120000 PASS 零零十二萬 
120001 120001 PASS 零零十二萬零零零一 
120010 120010 PASS 零零十二萬零零十 
120012 120012 PASS 零零十二萬零零十二 
120100 120100 PASS 零零十二萬零一百 
120102 120102 PASS 零零十二萬零一百零二 
120310 120310 PASS 零零十二萬零三百十 
120123 120123 PASS 零零十二萬零一百二十三 
121000 121000 PASS 零零十二萬一千 
121002 121002 PASS 零零十二萬一千零零二 
121020 121020 PASS 零零十二萬一千零二十 
121023 121023 PASS 零零十二萬一千零二十三 
121200 121200 PASS 零零十二萬一千二百 
121203 121203 PASS 零零十二萬一千二百零三 
121230 121230 PASS 零零十二萬一千二百三十 
121234 121234 PASS 零零十二萬一千二百三十四 
1000000 1000000 PASS 零一百萬 
1000001 1000001 PASS 零一百萬零零零一 
1000010 1000010 PASS 零一百萬零零十 
1000012 1000012 PASS 零一百萬零零十二 
1000100 1000100 PASS 零一百萬零一百 
1000102 1000102 PASS 零一百萬零一百零二 
1000310 1000310 PASS 零一百萬零三百十 
1000123 1000123 PASS 零一百萬零一百二十三 
1001000 1001000 PASS 零一百萬一千 
1001002 1001002 PASS 零一百萬一千零零二 
1001020 1001020 PASS 零一百萬一千零二十 
1001023 1001023 PASS 零一百萬一千零二十三 
1001200 1001200 PASS 零一百萬一千二百 
1001203 1001203 PASS 零一百萬一千二百零三 
1001230 1001230 PASS 零一百萬一千二百三十 
1001234 1001234 PASS 零一百萬一千二百三十四 
1020000 1020000 PASS 零一百零二萬 
1020001 1020001 PASS 零一百零二萬零零零一 
1020010 1020010 PASS 零一百零二萬零零十 
1020012 1020012 PASS 零一百零二萬零零十二 
1020100 1020100 PASS 零一百零二萬零一百 
1020102 1020102 PASS 零一百零二萬零一百零二 
1020310 1020310 PASS 零一百零二萬零三百十 
1020123 1020123 PASS 零一百零二萬零一百二十三 
1021000 1021000 PASS 零一百零二萬一千 
1021002 1021002 PASS 零一百零二萬一千零零二 
1021020 1021020 PASS 零一百零二萬一千零二十 
1021023 1021023 PASS 零一百零二萬一千零二十三 
1021200 1021200 PASS 零一百零二萬一千二百 
1021203 1021203 PASS 零一百零二萬一千二百零三 
1021230 1021230 PASS 零一百零二萬一千二百三十 
1021234 1021234 PASS 零一百零二萬一千二百三十四 
3100000 3100000 PASS 零三百十萬 
3100001 3100001 PASS 零三百十萬零零零一 
3100010 3100010 PASS 零三百十萬零零十 
3100012 3100012 PASS 零三百十萬零零十二 
3100100 3100100 PASS 零三百十萬零一百 
3100102 3100102 PASS 零三百十萬零一百零二 
3100310 3100310 PASS 零三百十萬零三百十 
3100123 3100123 PASS 零三百十萬零一百二十三 
3101000 3101000 PASS 零三百十萬一千 
3101002 3101002 PASS 零三百十萬一千零零二 
3101020 3101020 PASS 零三百十萬一千零二十 
3101023 3101023 PASS 零三百十萬一千零二十三 
3101200 3101200 PASS 零三百十萬一千二百 
3101203 3101203 PASS 零三百十萬一千二百零三 
3101230 3101230 PASS 零三百十萬一千二百三十 
3101234 3101234 PASS 零三百十萬一千二百三十四 
1230000 1230000 PASS 零一百二十三萬 
1230001 1230001 PASS 零一百二十三萬零零零一 
1230010 1230010 PASS 零一百二十三萬零零十 
1230012 1230012 PASS 零一百二十三萬零零十二 
1230100 1230100 PASS 零一百二十三萬零一百 
1230102 1230102 PASS 零一百二十三萬零一百零二 
1230310 1230310 PASS 零一百二十三萬零三百十 
1230123 1230123 PASS 零一百二十三萬零一百二十三 
1231000 1231000 PASS 零一百二十三萬一千 
1231002 1231002 PASS 零一百二十三萬一千零零二 
1231020 1231020 PASS 零一百二十三萬一千零二十 
1231023 1231023 PASS 零一百二十三萬一千零二十三 
1231200 1231200 PASS 零一百二十三萬一千二百 
1231203 1231203 PASS 零一百二十三萬一千二百零三 
1231230 1231230 PASS 零一百二十三萬一千二百三十 
1231234 1231234 PASS 零一百二十三萬一千二百三十四 
10000000 10000000 PASS 一千萬 
10000001 10000001 PASS 一千萬零零零一 
10000010 10000010 PASS 一千萬零零十 
10000012 10000012 PASS 一千萬零零十二 
10000100 10000100 PASS 一千萬零一百 
10000102 10000102 PASS 一千萬零一百零二 
10000310 10000310 PASS 一千萬零三百十 
10000123 10000123 PASS 一千萬零一百二十三 
10001000 10001000 PASS 一千萬一千 
10001002 10001002 PASS 一千萬一千零零二 
10001020 10001020 PASS 一千萬一千零二十 
10001023 10001023 PASS 一千萬一千零二十三 
10001200 10001200 PASS 一千萬一千二百 
10001203 10001203 PASS 一千萬一千二百零三 
10001230 10001230 PASS 一千萬一千二百三十 
10001234 10001234 PASS 一千萬一千二百三十四 
10020000 10020000 PASS 一千零零二萬 
10020001 10020001 PASS 一千零零二萬零零零一 
10020010 10020010 PASS 一千零零二萬零零十 
10020012 10020012 PASS 一千零零二萬零零十二 
10020100 10020100 PASS 一千零零二萬零一百 
10020102 10020102 PASS 一千零零二萬零一百零二 
10020310 10020310 PASS 一千零零二萬零三百十 
10020123 10020123 PASS 一千零零二萬零一百二十三 
10021000 10021000 PASS 一千零零二萬一千 
10021002 10021002 PASS 一千零零二萬一千零零二 
10021020 10021020 PASS 一千零零二萬一千零二十 
10021023 10021023 PASS 一千零零二萬一千零二十三 
10021200 10021200 PASS 一千零零二萬一千二百 
10021203 10021203 PASS 一千零零二萬一千二百零三 
10021230 10021230 PASS 一千零零二萬一千二百三十 
10021234 10021234 PASS 一千零零二萬一千二百三十四 
10200000 10200000 PASS 一千零二十萬 
10200001 10200001 PASS 一千零二十萬零零零一 
10200010 10200010 PASS 一千零二十萬零零十 
10200012 10200012 PASS 一千零二十萬零零十二 
10200100 10200100 PASS 一千零二十萬零一百 
10200102 10200102 PASS 一千零二十萬零一百零二 
10200310 10200310 PASS 一千零二十萬零三百十 
10200123 10200123 PASS 一千零二十萬零一百二十三 
10201000 10201000 PASS 一千零二十萬一千 
10201002 10201002 PASS 一千零二十萬一千零零二 
10201020 10201020 PASS 一千零二十萬一千零二十 
10201023 10201023 PASS 一千零二十萬一千零二十三 
10201200 10201200 PASS 一千零二十萬一千二百 
10201203 10201203 PASS 一千零二十萬一千二百零三 
10201230 10201230 PASS 一千零二十萬一千二百三十 
10201234 10201234 PASS 一千零二十萬一千二百三十四 
10230000 10230000 PASS 一千零二十三萬 
10230001 10230001 PASS 一千零二十三萬零零零一 
10230010 10230010 PASS 一千零二十三萬零零十 
10230012 10230012 PASS 一千零二十三萬零零十二 
10230100 10230100 PASS 一千零二十三萬零一百 
10230102 10230102 PASS 一千零二十三萬零一百零二 
10230310 10230310 PASS 一千零二十三萬零三百十 
10230123 10230123 PASS 一千零二十三萬零一百二十三 
10231000 10231000 PASS 一千零二十三萬一千 
10231002 10231002 PASS 一千零二十三萬一千零零二 
10231020 10231020 PASS 一千零二十三萬一千零二十 
10231023 10231023 PASS 一千零二十三萬一千零二十三 
10231200 10231200 PASS 一千零二十三萬一千二百 
10231203 10231203 PASS 一千零二十三萬一千二百零三 
10231230 10231230 PASS 一千零二十三萬一千二百三十 
10231234 10231234 PASS 一千零二十三萬一千二百三十四 
12000000 12000000 PASS 一千二百萬 
12000001 12000001 PASS 一千二百萬零零零一 
12000010 12000010 PASS 一千二百萬零零十 
12000012 12000012 PASS 一千二百萬零零十二 
12000100 12000100 PASS 一千二百萬零一百 
12000102 12000102 PASS 一千二百萬零一百零二 
12000310 12000310 PASS 一千二百萬零三百十 
12000123 12000123 PASS 一千二百萬零一百二十三 
12001000 12001000 PASS 一千二百萬一千 
12001002 12001002 PASS 一千二百萬一千零零二 
12001020 12001020 PASS 一千二百萬一千零二十 
12001023 12001023 PASS 一千二百萬一千零二十三 
12001200 12001200 PASS 一千二百萬一千二百 
12001203 12001203 PASS 一千二百萬一千二百零三 
12001230 12001230 PASS 一千二百萬一千二百三十 
12001234 12001234 PASS 一千二百萬一千二百三十四 
12030000 12030000 PASS 一千二百零三萬 
12030001 12030001 PASS 一千二百零三萬零零零一 
12030010 12030010 PASS 一千二百零三萬零零十 
12030012 12030012 PASS 一千二百零三萬零零十二 
12030100 12030100 PASS 一千二百零三萬零一百 
12030102 12030102 PASS 一千二百零三萬零一百零二 
12030310 12030310 PASS 一千二百零三萬零三百十 
12030123 12030123 PASS 一千二百零三萬零一百二十三 
12031000 12031000 PASS 一千二百零三萬一千 
12031002 12031002 PASS 一千二百零三萬一千零零二 
12031020 12031020 PASS 一千二百零三萬一千零二十 
12031023 12031023 PASS 一千二百零三萬一千零二十三 
12031200 12031200 PASS 一千二百零三萬一千二百 
12031203 12031203 PASS 一千二百零三萬一千二百零三 
12031230 12031230 PASS 一千二百零三萬一千二百三十 
12031234 12031234 PASS 一千二百零三萬一千二百三十四 
12300000 12300000 PASS 一千二百三十萬 
12300001 12300001 PASS 一千二百三十萬零零零一 
12300010 12300010 PASS 一千二百三十萬零零十 
12300012 12300012 PASS 一千二百三十萬零零十二 
12300100 12300100 PASS 一千二百三十萬零一百 
12300102 12300102 PASS 一千二百三十萬零一百零二 
